DATE,NYGDPMKTPCDPRI,
1/1/1960,1691900000,
1/1/1961,1865100000,
1/1/1962,2094400000,
1/1/1963,2333600000,
1/1/1964,2570500000,
1/1/1965,2881500000,
1/1/1966,3170500000,
1/1/1967,3532700000,
1/1/1968,3941700000,
1/1/1969,4460700000,
1/1/1970,5034700000,
1/1/1971,5646800000,
1/1/1972,6328900000,
1/1/1973,7002400000,
1/1/1974,7684800000,
1/1/1975,8198300000,
1/1/1976,8968600000,
1/1/1977,9910900000,
1/1/1978,11165000000,
1/1/1979,12750000000,
1/1/1980,14436100000,
1/1/1981,15955700000,
1/1/1982,16764200000,
1/1/1983,17276600000,
1/1/1984,19162600000,
1/1/1985,20289200000,
1/1/1986,22009300000,
1/1/1987,24025800000,
1/1/1988,26385800000,
1/1/1989,28161200000,
1/1/1990,30603919000,
1/1/1991,32287031000,
1/1/1992,34630430000,
1/1/1993,36922456000,
1/1/1994,39690630000,
1/1/1995,42647331000,
1/1/1996,45340835000,
1/1/1997,48187039000,
1/1/1998,54086400000,
1/1/1999,57841000000,
1/1/2000,61701800000,
1/1/2001,69208400000,
1/1/2002,71623500000,
1/1/2003,74827400000,
1/1/2004,80322313000,
1/1/2005,83914521300,
1/1/2006,87276164400,
1/1/2007,89524131600,
1/1/2008,93639300000,
1/1/2009,96385600000,
1/1/2010,98381300000,
1/1/2011,1.00352E+11,
1/1/2012,1.01565E+11,
1/1/2013,1.0245E+11,
1/1/2014,1.02446E+11,
1/1/2015,1.03376E+11,
1/1/2016,1.04337E+11,
1/1/2017,1.03446E+11,
1/1/2018,1.00958E+11,
1/1/2019,1.05126E+11,
1/1/2020,1.0302E+11,
1/1/2021,1.06526E+11,
,,
,,
,source: ,https://fred.stlouisfed.org/series/NYGDPMKTPCDPRI
,,
,Gross Domestic Product for Puerto Rico (NYGDPMKTPCDPRI),
,"Units:  Current U.S. Dollars, Not Seasonally Adjusted",
,Frequency:  Annual,
