Fecha,Puerto Rico IPC
2010,110.48
2009,107.81
2008,107.51
2007,102.19
2006,98.04
2005,93.21
2004,88.26
2003,86.07
2002,84.9
2001,84.73
2000,84.24
1999,81.73
1998,81.18
1997,81.14
1996,79.63
1995,77.08
1994,75.63
1993,74.56
1992,73.85
1991,72.77
1990,71.17
1989,68.19
1988,66.32
1987,64.65
1986,63.33
1985,63.48
1984,63.35
1983,62.27
1982,62.06
1981,60.11
1980,54.91
1979,49.74
1978,46.72
1977,44.53
1976,42.67
1975,41.83
1974,38.53
1973,32.16
1972,29.94
1971,29.04
1970,27.83
1969,26.94
1968,26.1
1967,25.39
1966,24.4
1965,23.66
1964,23.1
1963,22.61
1962,21.95
1961,21.69
1960,21.18
1959,20.62
1958,20.15
1957,19.67
1956,18.9
1955,18.67
1954,18.85
1953,18.34
1952,17.81
1951,16.89
1950,15.32
1949,15.6
1948,17.04
1947,17.17
1946,15.11
1945,13.97
1944,13.51
1943,13.39
     1942(a),12.83
     1941(a),10.16
