	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)
VARIABLES	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/	/structural	/
																								
beta	0.990		0.990		0.990		0.990		0.990		0.990		0.990		0.990		0.990		0.990		0.990		0.990	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
delta	0.100		0.100		0.100		0.100		0.100		0.100		0.100		0.100		0.100		0.100		0.100		0.100	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
alpha	0.330		0.330		0.330		0.330		0.330		0.330		0.330		0.330		0.330		0.330		0.330		0.330	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
gamma	4.370		4.370		3.800		3.800		3.800		3.800		3.800		3.800		3.800		3.800		3.800		3.800	
	(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)		(0)	
rho_a	0.0835		0.0835		0.0830		0.0830		0.0830		0.0830		0.0830		0.0830		0.0830		0.0830		0.0830		0.0830	
	(0.147)		(0.147)		(0.147)		(0.147)		(0.147)		(0.147)		(0.147)		(0.147)		(0.147)		(0.147)		(0.147)		(0.147)	
sd(e.a)		1.011***		1.011***		1.034***		1.034***		1.034***		1.034***		1.034***		1.034***		1.034***		1.034***		1.034***		1.034***
		(0.106)		(0.106)		(0.108)		(0.108)		(0.108)		(0.108)		(0.108)		(0.108)		(0.108)		(0.108)		(0.108)		(0.108)
																								
Observations	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46
Standard errors in parentheses																								
*** p<0.01, ** p<0.05, * p<0.1																								
